date,meal,food_name,calories,protein_g,carbs_g,fats_g
,breakfast,"Bananas, Raw",62,0.8,16,0.2
,breakfast,Whole Strawberries,36,0.7,9.3,0
,breakfast,"Potatoes, Russet, Flesh And Skin, Baked",95,2.6,21.4,0.1
,breakfast,Boneless Skinless Chicken Breast With Rib Meat,482,94.5,0,13
,breakfast,"Plain Greek Nonfat Yogurt, Plain",59,10,5.3,0
,breakfast,"Extreme Milk Chocolate Flavored Gold Standard 100% Whey Protein Powder Drink Mix, Extreme Milk Chocolate",120,24,3,1.5
,breakfast,Vitamin D Whole Milk,136,7.3,11,7.3
,breakfast,"Old Fashioned 100% Whole Grain Oats, Old Fashioned",375,12.5,67.5,7.5
,breakfast,"Extreme Milk Chocolate Flavored Gold Standard 100% Whey Protein Powder Drink Mix, Extreme Milk Chocolate",120,24,3,1.5
,breakfast,"Crunchy Peanut Butter, Crunchy",124,4.8,5.5,10.3
,breakfast,Large White Eggs,420,36,0,30
,breakfast,Whole Strawberries,36,0.7,9.3,0
,breakfast,Large White Eggs,420,36,0,30
,breakfast,"Bananas, Raw",62,0.8,16,0.2
,breakfast,Vitamin D Whole Milk,136,7.3,11,7.3
,breakfast,"Plain Greek Nonfat Yogurt, Plain",59,10,5.3,0
,breakfast,Boneless Skinless Chicken Breast With Rib Meat,482,94.5,0,13
,breakfast,"Crunchy Peanut Butter, Crunchy",124,4.8,5.5,10.3
,breakfast,"Extreme Milk Chocolate Flavored Gold Standard 100% Whey Protein Powder Drink Mix, Extreme Milk Chocolate",120,24,3,1.5
,breakfast,"Extreme Milk Chocolate Flavored Gold Standard 100% Whey Protein Powder Drink Mix, Extreme Milk Chocolate",120,24,3,1.5
,breakfast,"Old Fashioned 100% Whole Grain Oats, Old Fashioned",375,12.5,67.5,7.5
,breakfast,"Potatoes, Russet, Flesh And Skin, Baked",95,2.6,21.4,0.1
,breakfast,Whole Strawberries,36,0.7,9.3,0
,breakfast,"Potatoes, Russet, Flesh And Skin, Baked",95,2.6,21.4,0.1
,breakfast,"Plain Greek Nonfat Yogurt, Plain",59,10,5.3,0
,breakfast,"Extreme Milk Chocolate Flavored Gold Standard 100% Whey Protein Powder Drink Mix, Extreme Milk Chocolate",120,24,3,1.5
,breakfast,"Crunchy Peanut Butter, Crunchy",124,4.8,5.5,10.3
,breakfast,Large White Eggs,420,36,0,30
,breakfast,"Extreme Milk Chocolate Flavored Gold Standard 100% Whey Protein Powder Drink Mix, Extreme Milk Chocolate",120,24,3,1.5
,breakfast,"Old Fashioned 100% Whole Grain Oats, Old Fashioned",375,12.5,67.5,7.5
,breakfast,Vitamin D Whole Milk,136,7.3,11,7.3
,breakfast,"Bananas, Raw",62,0.8,16,0.2
,breakfast,Boneless Skinless Chicken Breast With Rib Meat,482,94.5,0,13
,breakfast,Vitamin D Whole Milk,136,7.3,11,7.3
,breakfast,"Crunchy Peanut Butter, Crunchy",124,4.8,5.5,10.3
,breakfast,Large White Eggs,420,36,0,30
,breakfast,Boneless Skinless Chicken Breast With Rib Meat,482,94.5,0,13
,breakfast,Whole Strawberries,36,0.7,9.3,0
,breakfast,"Old Fashioned 100% Whole Grain Oats, Old Fashioned",375,12.5,67.5,7.5
,breakfast,"Potatoes, Russet, Flesh And Skin, Baked",95,2.6,21.4,0.1
,breakfast,"Extreme Milk Chocolate Flavored Gold Standard 100% Whey Protein Powder Drink Mix, Extreme Milk Chocolate",120,24,3,1.5
,breakfast,"Extreme Milk Chocolate Flavored Gold Standard 100% Whey Protein Powder Drink Mix, Extreme Milk Chocolate",120,24,3,1.5
,breakfast,"Bananas, Raw",62,0.8,16,0.2
,breakfast,"Plain Greek Nonfat Yogurt, Plain",59,10,5.3,0
,breakfast,"Bananas, Raw",62,0.8,16,0.2
