date,workout_name,exercise,set,weight,reps,completed
2026-05-18,Heavy Lower,Incline DB press,1,85,6,yes
2026-05-18,Heavy Lower,Incline DB press,2,85,6,yes
2026-05-18,Heavy Lower,Chest-supported Row,1,360,10,yes
2026-05-18,Heavy Lower,Chest-supported Row,2,360,10,yes
2026-05-18,Heavy Lower,Zercher Squats,1,295,5,yes
2026-05-18,Heavy Lower,Barbell Squats,1,315,5,yes
2026-05-18,Heavy Lower,Barbell Squats,2,315,5,yes
2026-05-18,Heavy Lower,Weighted Dips,1,115,3,yes
2026-05-18,Heavy Lower,Weighted Dips,2,115,3,yes
2026-05-18,Heavy Lower,Cable Lateral Raise,1,53.5,10,yes
2026-05-18,Heavy Lower,Cable Lateral Raise,2,53.5,10,yes
2026-05-18,Heavy Lower,Cable Triceps Extension,1,85,10,yes
2026-05-18,Heavy Lower,Cable Triceps Extension,2,85,10,yes
2026-05-18,Heavy Lower,Seated Leg Curl,1,215,10,yes
2026-05-18,Heavy Lower,Seated Leg Curl,2,215,10,yes
2026-05-18,Heavy Lower,Calf Raise,1,410,25,yes
2026-05-18,Heavy Lower,Hanging Leg Raise,1,0,12,yes
2026-05-18,Heavy Lower,Hanging Leg Raise,2,0,12,yes
2026-05-20,Upper Power,Weighted Pull-Up,1,25,5,yes
2026-05-20,Upper Power,Weighted Pull-Up,2,25,5,yes
2026-05-20,Upper Power,Machine Incline Press,1,250,7,yes
2026-05-20,Upper Power,Machine Incline Press,2,250,5,yes
2026-05-20,Upper Power,RDL,1,335,6,yes
2026-05-20,Upper Power,Chest-supported Row,1,360,10,yes
2026-05-20,Upper Power,Chest-supported Row,2,360,9,yes
2026-05-20,Upper Power,Cable Lateral Raise,1,53.5,10,yes
2026-05-20,Upper Power,Cable Lateral Raise,2,53.5,10,yes
2026-05-20,Upper Power,Smith machine incline reverse grip press,1,90,10,yes
2026-05-20,Upper Power,Smith machine incline reverse grip press,2,90,10,yes
2026-05-20,Upper Power,Preacher Curl,1,90,10,yes
2026-05-20,Upper Power,Preacher Curl,2,90,10,yes
2026-05-20,Upper Power,Reverse Grip Preacher Curl,1,70,10,yes
2026-05-20,Upper Power,Leg Extensions,1,225,10,yes
2026-05-20,Upper Power,Leg Extensions,2,225,10,yes
2026-05-20,Upper Power,Larsen Press,1,185,10,yes
2026-05-20,Upper Power,Larsen Press,2,185,10,yes
2026-05-20,Upper Power,Larsen Press,3,225,3,yes
2026-05-22,Core/Power,Barbell Shoulder Press,1,155,3,yes
2026-05-22,Core/Power,Barbell Shoulder Press,2,140,8,yes
2026-05-22,Core/Power,Chest-supported Rows,1,430,6,yes
2026-05-22,Core/Power,Chest-supported Rows,2,410,8,yes
2026-05-22,Core/Power,Barbell Squat,1,365,3,yes
2026-05-22,Core/Power,Barbell Squat,2,315,6,yes
2026-05-22,Core/Power,Db Incline Press,1,80,9,yes
2026-05-22,Core/Power,Db Incline Press,2,80,10,yes
2026-05-22,Core/Power,Bayesian Curl,1,50,6,yes
2026-05-22,Core/Power,Bayesian Curl,2,50,6,yes
2026-05-22,Core/Power,Cable Triceps Pushdown,1,87.4,10,yes
2026-05-22,Core/Power,Cable Triceps Pushdown,2,8.5,10,yes
2026-05-22,Core/Power,Reverse Peck Deck,1,165,15,yes
2026-05-22,Core/Power,Calf Raises,1,405,25,yes
2026-05-22,Core/Power,Calf Raises,2,405,25,yes
